task_id,department,asset_id,section,location_km,task_type,severity,safety_critical,due_date,estimated_duration_hours,status,days_until_due,urgency_score,severity_score,safety_score,importance,asset_importance_score,priority_score
M120,Traction,AST082,S14,11.6,Transformer Inspection,High,Yes,2026-09-13,1.5,Pending,6,4,7,10,High,10,70.5
M155,Engineering,AST003,S12,13.0,Sleeper Replacement,High,Yes,2026-09-13,1.0,Pending,6,4,7,10,High,10,70.5
M181,Traction,AST097,S13,2.6,Transformer Inspection,Medium,No,2026-08-28,0.5,Pending,-10,20,5,3,High,10,70.0
M055,Engineering,AST012,S18,16.4,Track Geometry Correction,Medium,No,2026-08-26,1.0,Pending,-12,20,5,3,High,10,70.0
M062,Traction,AST075,S04,13.2,OHE Inspection,High,Yes,2026-09-13,2.0,Overdue,6,4,7,10,Low,3,70.0
M002,Traction,AST069,S18,6.5,OHE Component Repair,High,Yes,2026-09-13,1.0,Overdue,6,4,7,10,Low,3,70.0
M277,S&T,AST065,S03,5.7,Cable Inspection,Medium,No,2026-08-26,0.5,Pending,-12,20,5,3,High,10,70.0
M108,Engineering,AST024,S01,22.2,Point Maintenance,Critical,Yes,2026-09-24,1.0,Pending,17,0,10,10,Medium,6,69.0
M063,Traction,AST078,S02,1.8,Transformer Inspection,High,Yes,2026-09-14,1.0,Pending,7,3,7,10,High,10,69.0
M218,S&T,AST049,S08,4.2,Cable Inspection,Critical,Yes,2026-10-02,1.5,Pending,25,0,10,10,Medium,6,69.0
M111,S&T,AST057,S20,5.5,Signal Fault Repair,High,Yes,2026-09-14,1.0,Pending,7,3,7,10,High,10,69.0
M020,Engineering,AST023,S11,4.1,Rail Crack Repair,High,Yes,2026-09-14,1.5,Pending,7,3,7,10,High,10,69.0
M131,Engineering,AST020,S14,0.9,Ballast Inspection,High,Yes,2026-09-27,1.5,Overdue,20,0,7,10,Medium,6,68.5
M201,Traction,AST085,S10,2.0,Sectioning Equipment Check,Medium,No,2026-08-29,1.0,Overdue,-9,19,5,3,Low,3,68.0
M247,S&T,AST038,S02,0.6,Interlocking Maintenance,High,Yes,2026-09-15,1.0,Pending,8,2,7,10,High,10,67.5
M284,Traction,AST074,S15,18.0,Pantograph Clearance Check,High,Yes,2026-09-08,1.0,Pending,1,9,7,10,Low,3,67.5
M146,S&T,AST057,S20,5.5,Interlocking Maintenance,High,Yes,2026-09-15,1.0,Pending,8,2,7,10,High,10,67.5
M010,Traction,AST080,S05,24.1,Sectioning Equipment Check,Medium,No,2026-08-30,1.0,Pending,-8,18,5,3,High,10,67.0
M005,S&T,AST045,S04,2.7,Signal Fault Repair,High,Yes,2026-09-09,2.0,Pending,2,8,7,10,Low,3,66.0
M119,Traction,AST088,S18,22.4,Sectioning Equipment Check,Medium,No,2026-08-31,0.5,Pending,-7,17,5,3,High,10,65.5
M140,Traction,AST090,S04,6.1,OHE Component Repair,High,Yes,2026-09-16,1.0,Overdue,9,1,7,10,Low,3,65.5
M039,Traction,AST095,S20,5.4,OHE Component Repair,Medium,No,2026-08-31,0.5,Pending,-7,17,5,3,High,10,65.5
M034,S&T,AST048,S02,8.7,Axle Counter Testing,High,Yes,2026-09-26,1.0,Pending,19,0,7,10,High,10,64.5
M045,S&T,AST059,S20,3.4,Signal Inspection,Critical,Yes,2026-10-01,1.0,Pending,24,0,10,10,Low,3,64.5
M025,Traction,AST078,S02,1.8,Transformer Inspection,High,Yes,2026-09-23,1.5,Pending,16,0,7,10,High,10,64.5
M263,Traction,AST076,S18,19.9,OHE Inspection,Critical,Yes,2026-09-20,2.0,Pending,13,0,10,10,Low,3,64.5
M235,Engineering,AST014,S19,9.4,Track Geometry Correction,Critical,Yes,2026-09-22,1.5,Pending,15,0,10,10,Low,3,64.5
M166,Traction,AST076,S18,19.9,Pantograph Clearance Check,Critical,Yes,2026-09-21,2.5,Pending,14,0,10,10,Low,3,64.5
M214,S&T,AST052,S18,17.2,Signal Fault Repair,High,Yes,2026-09-21,1.0,Pending,14,0,7,10,High,10,64.5
M274,Traction,AST090,S04,6.1,OHE Component Repair,High,Yes,2026-09-10,1.0,Pending,3,7,7,10,Low,3,64.5
M271,Traction,AST092,S13,1.7,Sectioning Equipment Check,High,Yes,2026-09-29,1.5,Pending,22,0,7,10,High,10,64.5
M099,Engineering,AST022,S04,12.4,Sleeper Replacement,Medium,No,2026-08-27,1.5,Pending,-11,20,5,3,Medium,6,64.0
M067,S&T,AST037,S19,0.2,Axle Counter Testing,High,Yes,2026-09-17,2.0,Overdue,10,0,7,10,Low,3,64.0
M212,Traction,AST070,S11,9.6,Pantograph Clearance Check,Medium,No,2026-08-26,1.0,Pending,-12,20,5,3,Medium,6,64.0
M188,S&T,AST051,S09,5.5,Signal Inspection,High,Yes,2026-09-23,2.0,Overdue,16,0,7,10,Low,3,64.0
M042,Engineering,AST004,S15,3.2,Track Geometry Correction,Medium,No,2026-09-04,0.5,Overdue,-3,13,5,3,Medium,6,63.5
M021,Traction,AST091,S11,8.4,Pantograph Clearance Check,Medium,No,2026-09-01,1.5,Overdue,-6,16,5,3,Low,3,63.5
M153,S&T,AST055,S19,15.0,Axle Counter Testing,High,Yes,2026-09-11,1.0,Pending,4,6,7,10,Low,3,63.0
M031,S&T,AST065,S03,5.7,Signal Inspection,Medium,No,2026-09-02,0.5,Pending,-5,15,5,3,High,10,62.5
M084,Traction,AST088,S18,22.4,Transformer Inspection,Medium,No,2026-09-09,1.5,Overdue,2,8,5,3,High,10,62.0
M123,S&T,AST052,S18,17.2,Cable Inspection,Medium,No,2026-09-03,1.5,Pending,-4,14,5,3,High,10,61.0
M205,Engineering,AST011,S08,4.8,Point Maintenance,Medium,No,2026-08-30,1.5,Pending,-8,18,5,3,Medium,6,61.0
M297,Traction,AST082,S14,11.6,OHE Inspection,Low,No,2026-09-03,1.0,Overdue,-4,14,2,3,High,10,60.5
M057,Traction,AST073,S05,27.3,Transformer Inspection,Medium,No,2026-09-10,1.0,Overdue,3,7,5,3,High,10,60.5
M197,S&T,AST044,S04,5.6,Signal Inspection,High,Yes,2026-09-16,2.0,Pending,9,1,7,10,Medium,6,60.0
M033,Traction,AST069,S18,6.5,Pantograph Clearance Check,Medium,No,2026-08-26,0.5,Pending,-12,20,5,3,Low,3,59.5
M018,S&T,AST066,S18,7.2,Signal Fault Repair,Medium,No,2026-08-27,0.5,Pending,-11,20,5,3,Low,3,59.5
M135,S&T,AST043,S14,11.6,Interlocking Maintenance,Medium,No,2026-09-04,1.0,Pending,-3,13,5,3,High,10,59.5
M137,Traction,AST086,S13,2.4,OHE Component Repair,Medium,No,2026-09-04,0.5,Pending,-3,13,5,3,High,10,59.5
M075,Engineering,AST024,S01,22.2,Ballast Inspection,Medium,No,2026-08-31,1.0,Pending,-7,17,5,3,Medium,6,59.5
M060,Traction,AST071,S16,20.6,Pantograph Clearance Check,Low,No,2026-09-04,1.0,Overdue,-3,13,2,3,High,10,59.0
M007,Engineering,AST031,S18,3.1,Point Maintenance,High,Yes,2026-09-25,1.5,Pending,18,0,7,10,Medium,6,58.5
M163,Traction,AST089,S06,25.3,OHE Inspection,High,Yes,2026-10-04,2.0,Pending,27,0,7,10,Medium,6,58.5
M103,Engineering,AST020,S14,0.9,Sleeper Replacement,High,Yes,2026-09-22,2.0,Pending,15,0,7,10,Medium,6,58.5
M195,Traction,AST071,S16,20.6,OHE Component Repair,High,No,2026-09-16,1.5,Overdue,9,1,7,3,High,10,58.5
M206,Traction,AST070,S11,9.6,Pantograph Clearance Check,High,Yes,2026-09-28,1.0,Pending,21,0,7,10,Medium,6,58.5
M095,Traction,AST072,S14,0.6,OHE Inspection,High,Yes,2026-09-18,2.0,Pending,11,0,7,10,Medium,6,58.5
M211,Engineering,AST001,S06,11.1,Point Maintenance,High,Yes,2026-09-17,1.0,Pending,10,0,7,10,Medium,6,58.5
M207,Traction,AST092,S13,1.7,Sectioning Equipment Check,Low,No,2026-08-29,1.0,Pending,-9,19,2,3,High,10,58.0
M216,Traction,AST090,S04,6.1,Pantograph Clearance Check,Medium,No,2026-08-29,1.0,Pending,-9,19,5,3,Low,3,58.0
M156,Traction,AST093,S14,7.0,Pantograph Clearance Check,High,No,2026-09-03,1.5,Pending,-4,14,7,3,Low,3,57.5
M290,Traction,AST079,S04,10.9,Transformer Inspection,Medium,No,2026-09-08,1.0,Overdue,1,9,5,3,Medium,6,57.5
M015,Engineering,AST004,S15,3.2,Track Geometry Correction,High,No,2026-09-06,1.5,Pending,-1,11,7,3,Medium,6,57.5
M242,Engineering,AST014,S19,9.4,Ballast Inspection,Medium,No,2026-09-05,1.0,Overdue,-2,12,5,3,Low,3,57.5
M254,Traction,AST081,S01,18.6,Transformer Inspection,Low,No,2026-09-01,1.0,Overdue,-6,16,2,3,Medium,6,57.5
M023,S&T,AST035,S15,11.5,Signal Inspection,Critical,No,2026-09-26,1.0,Pending,19,0,10,3,High,10,57.5
M154,Engineering,AST007,S08,10.1,Sleeper Replacement,High,No,2026-09-23,2.0,Overdue,16,0,7,3,High,10,57.0
M100,Engineering,AST019,S02,1.3,Rail Crack Repair,High,No,2026-10-01,1.0,Overdue,24,0,7,3,High,10,57.0
M049,Traction,AST096,S10,2.7,Sectioning Equipment Check,Medium,No,2026-09-02,0.5,Pending,-5,15,5,3,Medium,6,56.5
M159,S&T,AST045,S04,2.7,Signal Inspection,High,Yes,2026-09-28,1.0,Pending,21,0,7,10,Low,3,54.0
M115,S&T,AST047,S03,12.4,Interlocking Maintenance,High,Yes,2026-10-05,1.5,Pending,28,0,7,10,Low,3,54.0
M037,Traction,AST090,S04,6.1,Sectioning Equipment Check,High,Yes,2026-09-21,2.0,Pending,14,0,7,10,Low,3,54.0
M276,Engineering,AST033,S07,24.2,Ballast Inspection,High,Yes,2026-09-26,1.0,Pending,19,0,7,10,Low,3,54.0
M029,S&T,AST047,S03,12.4,Axle Counter Testing,High,Yes,2026-09-20,1.5,Pending,13,0,7,10,Low,3,54.0
M298,S&T,AST039,S03,3.7,Signal Inspection,High,Yes,2026-09-18,1.0,Pending,11,0,7,10,Low,3,54.0
M121,S&T,AST053,S10,8.5,Interlocking Maintenance,High,Yes,2026-09-19,1.5,Pending,12,0,7,10,Low,3,54.0
M210,Traction,AST098,S14,12.6,Sectioning Equipment Check,High,Yes,2026-09-21,1.5,Pending,14,0,7,10,Low,3,54.0
M233,Traction,AST094,S07,13.8,Sectioning Equipment Check,High,Yes,2026-09-27,1.5,Pending,20,0,7,10,Low,3,54.0
M006,S&T,AST053,S10,8.5,Cable Inspection,High,Yes,2026-09-24,1.5,Pending,17,0,7,10,Low,3,54.0
M249,S&T,AST052,S18,17.2,Cable Inspection,Low,No,2026-09-01,0.5,Pending,-6,16,2,3,High,10,53.5
M248,S&T,AST051,S09,5.5,Axle Counter Testing,Medium,No,2026-09-01,0.5,Pending,-6,16,5,3,Low,3,53.5
M182,Engineering,AST007,S08,10.1,Rail Crack Repair,Low,No,2026-09-08,1.0,Overdue,1,9,2,3,High,10,53.0
M164,Engineering,AST034,S10,8.8,Ballast Inspection,Medium,No,2026-09-08,1.5,Overdue,1,9,5,3,Low,3,53.0
M295,Traction,AST082,S14,11.6,OHE Inspection,Medium,No,2026-09-09,0.5,Pending,2,8,5,3,High,10,52.0
M237,S&T,AST052,S18,17.2,Signal Fault Repair,Medium,No,2026-09-09,0.5,Pending,2,8,5,3,High,10,52.0
M096,Traction,AST079,S04,10.9,OHE Inspection,Low,No,2026-08-29,1.0,Pending,-9,19,2,3,Medium,6,52.0
M070,S&T,AST067,S01,20.7,Signal Inspection,Critical,No,2026-09-26,2.0,Pending,19,0,10,3,Medium,6,51.5
M229,S&T,AST036,S03,0.3,Cable Inspection,Medium,No,2026-09-09,0.5,Overdue,2,8,5,3,Low,3,51.5
M185,S&T,AST042,S04,9.2,Signal Inspection,Medium,No,2026-09-12,1.0,Overdue,5,5,5,3,Medium,6,51.5
M287,Traction,AST092,S13,1.7,Sectioning Equipment Check,Medium,No,2026-09-10,0.5,Pending,3,7,5,3,High,10,50.5
M253,Engineering,AST022,S04,12.4,Point Maintenance,Low,No,2026-08-30,1.0,Pending,-8,18,2,3,Medium,6,50.5
M026,Engineering,AST011,S08,4.8,Sleeper Replacement,Medium,No,2026-09-06,1.0,Pending,-1,11,5,3,Medium,6,50.5
M217,Traction,AST086,S13,2.4,Sectioning Equipment Check,Medium,No,2026-09-10,1.5,Pending,3,7,5,3,High,10,50.5
M260,Traction,AST097,S13,2.6,Sectioning Equipment Check,Medium,No,2026-09-10,0.5,Pending,3,7,5,3,High,10,50.5
M246,Traction,AST091,S11,8.4,Sectioning Equipment Check,Medium,No,2026-09-10,1.0,Overdue,3,7,5,3,Low,3,50.0
M256,Engineering,AST019,S02,1.3,Sleeper Replacement,Medium,No,2026-09-25,1.0,Overdue,18,0,5,3,High,10,50.0
M009,S&T,AST052,S18,17.2,Axle Counter Testing,Medium,No,2026-09-29,0.5,Overdue,22,0,5,3,High,10,50.0
M192,Engineering,AST011,S08,4.8,Rail Crack Repair,Medium,No,2026-09-13,1.5,Overdue,6,4,5,3,Medium,6,50.0
M176,Traction,AST092,S13,1.7,Transformer Inspection,Medium,No,2026-09-27,0.5,Overdue,20,0,5,3,High,10,50.0
M091,S&T,AST065,S03,5.7,Signal Fault Repair,Medium,No,2026-09-19,1.5,Overdue,12,0,5,3,High,10,50.0
M128,Traction,AST082,S14,11.6,Sectioning Equipment Check,Medium,No,2026-09-25,1.5,Overdue,18,0,5,3,High,10,50.0
M073,Engineering,AST013,S02,3.5,Sleeper Replacement,Medium,No,2026-09-28,1.0,Overdue,21,0,5,3,High,10,50.0
M064,Traction,AST082,S14,11.6,OHE Component Repair,Low,No,2026-09-04,0.5,Pending,-3,13,2,3,High,10,49.0
M097,Engineering,AST021,S15,6.4,Point Maintenance,Medium,No,2026-09-04,0.5,Pending,-3,13,5,3,Low,3,49.0
M177,Engineering,AST007,S08,10.1,Track Geometry Correction,Low,No,2026-09-04,1.0,Pending,-3,13,2,3,High,10,49.0
M230,S&T,AST057,S20,5.5,Axle Counter Testing,Medium,No,2026-09-11,1.5,Pending,4,6,5,3,High,10,49.0
M228,S&T,AST066,S18,7.2,Interlocking Maintenance,Medium,No,2026-09-04,1.5,Pending,-3,13,5,3,Low,3,49.0
M203,S&T,AST051,S09,5.5,Axle Counter Testing,Low,No,2026-09-04,1.0,Overdue,-3,13,2,3,Low,3,48.5
M226,Engineering,AST021,S15,6.4,Rail Crack Repair,Medium,No,2026-09-11,1.0,Overdue,4,6,5,3,Low,3,48.5
M286,Traction,AST098,S14,12.6,OHE Component Repair,Low,No,2026-08-29,0.5,Pending,-9,19,2,3,Low,3,47.5
M265,Traction,AST070,S11,9.6,OHE Component Repair,Low,No,2026-09-01,0.5,Pending,-6,16,2,3,Medium,6,47.5
M222,Engineering,AST030,S03,7.5,Rail Crack Repair,High,No,2026-09-18,2.0,Pending,11,0,7,3,High,10,47.0
M014,Traction,AST071,S16,20.6,OHE Inspection,High,No,2026-09-29,1.5,Pending,22,0,7,3,High,10,47.0
M069,S&T,AST035,S15,11.5,Signal Fault Repair,Medium,No,2026-09-13,1.0,Pending,6,4,5,3,High,10,46.0
M035,Traction,AST091,S11,8.4,OHE Inspection,Medium,No,2026-09-06,1.0,Pending,-1,11,5,3,Low,3,46.0
M041,Engineering,AST027,S06,25.1,Ballast Inspection,Low,No,2026-08-30,0.5,Pending,-8,18,2,3,Low,3,46.0
M090,Traction,AST074,S15,18.0,OHE Inspection,Low,No,2026-08-30,0.5,Pending,-8,18,2,3,Low,3,46.0
M200,S&T,AST042,S04,9.2,Interlocking Maintenance,Medium,No,2026-09-16,1.5,Overdue,9,1,5,3,Medium,6,45.5
M109,Engineering,AST023,S11,4.1,Track Geometry Correction,Low,No,2026-09-13,1.0,Overdue,6,4,2,3,High,10,45.5
M124,Traction,AST082,S14,11.6,OHE Component Repair,Medium,No,2026-09-14,1.0,Pending,7,3,5,3,High,10,44.5
M152,Traction,AST072,S14,0.6,Sectioning Equipment Check,Medium,No,2026-09-10,1.5,Pending,3,7,5,3,Medium,6,44.5
M165,Engineering,AST013,S02,3.5,Sleeper Replacement,Medium,No,2026-09-14,1.5,Pending,7,3,5,3,High,10,44.5
M282,Traction,AST095,S20,5.4,OHE Inspection,Medium,No,2026-09-14,1.0,Pending,7,3,5,3,High,10,44.5
M245,Traction,AST099,S06,15.0,OHE Inspection,Medium,No,2026-09-30,0.5,Overdue,23,0,5,3,Medium,6,44.0
M027,S&T,AST049,S08,4.2,Signal Inspection,Medium,No,2026-09-30,0.5,Overdue,23,0,5,3,Medium,6,44.0
M294,Traction,AST099,S06,15.0,OHE Inspection,Medium,No,2026-09-11,1.5,Pending,4,6,5,3,Medium,6,43.0
M300,Engineering,AST010,S03,9.8,Point Maintenance,Low,No,2026-09-08,0.5,Overdue,1,9,2,3,Low,3,42.5
M269,Engineering,AST012,S18,16.4,Ballast Inspection,Low,No,2026-09-09,0.5,Pending,2,8,2,3,High,10,41.5
M092,Traction,AST084,S08,8.4,Sectioning Equipment Check,High,No,2026-09-30,1.5,Pending,23,0,7,3,Medium,6,41.0
M122,S&T,AST037,S19,0.2,Interlocking Maintenance,High,No,2026-09-14,1.0,Pending,7,3,7,3,Low,3,41.0
M053,Traction,AST082,S14,11.6,OHE Component Repair,Medium,No,2026-09-27,1.0,Pending,20,0,5,3,High,10,40.0
M270,S&T,AST057,S20,5.5,Signal Inspection,Medium,No,2026-09-23,0.5,Pending,16,0,5,3,High,10,40.0
M266,S&T,AST062,S10,2.8,Axle Counter Testing,Medium,No,2026-09-24,1.0,Pending,17,0,5,3,High,10,40.0
M050,Engineering,AST018,S08,5.2,Track Geometry Correction,Medium,No,2026-10-04,1.0,Pending,27,0,5,3,High,10,40.0
M252,Engineering,AST019,S02,1.3,Sleeper Replacement,Medium,No,2026-09-26,0.5,Pending,19,0,5,3,High,10,40.0
M251,Engineering,AST012,S18,16.4,Track Geometry Correction,Medium,No,2026-10-01,1.0,Pending,24,0,5,3,High,10,40.0
M136,Traction,AST097,S13,2.6,Pantograph Clearance Check,Medium,No,2026-09-21,0.5,Pending,14,0,5,3,High,10,40.0
M102,Traction,AST097,S13,2.6,Pantograph Clearance Check,Medium,No,2026-10-01,0.5,Pending,24,0,5,3,High,10,40.0
M127,S&T,AST058,S04,3.4,Signal Inspection,Medium,No,2026-09-10,1.0,Pending,3,7,5,3,Low,3,40.0
M134,Traction,AST074,S15,18.0,OHE Inspection,Low,No,2026-09-03,0.5,Pending,-4,14,2,3,Low,3,40.0
M101,Engineering,AST018,S08,5.2,Sleeper Replacement,Medium,No,2026-09-19,1.0,Pending,12,0,5,3,High,10,40.0
M225,Engineering,AST034,S10,8.8,Point Maintenance,Medium,No,2026-09-10,1.0,Pending,3,7,5,3,Low,3,40.0
M106,Traction,AST096,S10,2.7,Sectioning Equipment Check,Medium,No,2026-09-13,0.5,Pending,6,4,5,3,Medium,6,40.0
M244,Engineering,AST012,S18,16.4,Ballast Inspection,Medium,No,2026-10-03,0.5,Pending,26,0,5,3,High,10,40.0
M236,S&T,AST060,S17,13.1,Axle Counter Testing,Medium,No,2026-09-17,0.5,Pending,10,0,5,3,High,10,40.0
M086,Traction,AST080,S05,24.1,OHE Inspection,Medium,No,2026-10-02,0.5,Pending,25,0,5,3,High,10,40.0
M081,S&T,AST063,S15,25.5,Signal Fault Repair,Medium,No,2026-09-18,1.0,Pending,11,0,5,3,High,10,40.0
M129,S&T,AST052,S18,17.2,Interlocking Maintenance,Medium,No,2026-09-27,0.5,Pending,20,0,5,3,High,10,40.0
M178,Engineering,AST023,S11,4.1,Point Maintenance,Medium,No,2026-10-02,1.5,Pending,25,0,5,3,High,10,40.0
M291,Traction,AST080,S05,24.1,OHE Inspection,Medium,No,2026-09-30,1.0,Pending,23,0,5,3,High,10,40.0
M189,S&T,AST062,S10,2.8,Signal Inspection,Medium,No,2026-09-30,0.5,Pending,23,0,5,3,High,10,40.0
M024,S&T,AST045,S04,2.7,Interlocking Maintenance,Medium,No,2026-10-04,1.0,Overdue,27,0,5,3,Low,3,39.5
M013,S&T,AST043,S14,11.6,Signal Inspection,Low,No,2026-09-26,1.0,Overdue,19,0,2,3,High,10,39.5
M190,S&T,AST066,S18,7.2,Interlocking Maintenance,Medium,No,2026-10-05,0.5,Overdue,28,0,5,3,Low,3,39.5
M066,Engineering,AST021,S15,6.4,Sleeper Replacement,Medium,No,2026-09-24,0.5,Overdue,17,0,5,3,Low,3,39.5
M250,Traction,AST076,S18,19.9,OHE Inspection,Medium,No,2026-09-19,1.0,Overdue,12,0,5,3,Low,3,39.5
M169,Engineering,AST034,S10,8.8,Track Geometry Correction,Low,No,2026-09-10,1.0,Overdue,3,7,2,3,Low,3,39.5
M004,S&T,AST039,S03,3.7,Signal Fault Repair,Medium,No,2026-09-19,0.5,Overdue,12,0,5,3,Low,3,39.5
M040,S&T,AST035,S15,11.5,Interlocking Maintenance,Low,No,2026-10-03,0.5,Overdue,26,0,2,3,High,10,39.5
M094,S&T,AST066,S18,7.2,Signal Fault Repair,Medium,No,2026-09-18,1.0,Overdue,11,0,5,3,Low,3,39.5
M118,Traction,AST081,S01,18.6,Sectioning Equipment Check,Medium,No,2026-09-15,0.5,Pending,8,2,5,3,Medium,6,37.0
M147,S&T,AST059,S20,3.4,Interlocking Maintenance,Low,No,2026-09-05,0.5,Pending,-2,12,2,3,Low,3,37.0
M008,Engineering,AST014,S19,9.4,Track Geometry Correction,Medium,No,2026-09-12,1.5,Pending,5,5,5,3,Low,3,37.0
M032,Traction,AST095,S20,5.4,OHE Component Repair,Low,No,2026-09-12,1.0,Pending,5,5,2,3,High,10,37.0
M289,S&T,AST049,S08,4.2,Interlocking Maintenance,Low,No,2026-09-15,1.0,Overdue,8,2,2,3,Medium,6,36.5
M061,Traction,AST069,S18,6.5,Pantograph Clearance Check,High,No,2026-09-29,1.5,Pending,22,0,7,3,Low,3,36.5
M051,Traction,AST090,S04,6.1,OHE Component Repair,High,No,2026-09-23,1.0,Pending,16,0,7,3,Low,3,36.5
M267,Engineering,AST031,S18,3.1,Rail Crack Repair,Low,No,2026-09-15,0.5,Overdue,8,2,2,3,Medium,6,36.5
M085,Traction,AST076,S18,19.9,OHE Component Repair,High,No,2026-09-29,1.0,Pending,22,0,7,3,Low,3,36.5
M068,Traction,AST072,S14,0.6,Pantograph Clearance Check,Medium,No,2026-09-19,0.5,Pending,12,0,5,3,Medium,6,34.0
M001,Engineering,AST004,S15,3.2,Point Maintenance,Medium,No,2026-09-24,1.5,Pending,17,0,5,3,Medium,6,34.0
M107,Engineering,AST004,S15,3.2,Rail Crack Repair,Medium,No,2026-09-29,1.5,Pending,22,0,5,3,Medium,6,34.0
M293,S&T,AST047,S03,12.4,Interlocking Maintenance,Low,No,2026-09-07,0.5,Pending,0,10,2,3,Low,3,34.0
M012,Engineering,AST016,S08,5.8,Ballast Inspection,Medium,No,2026-09-19,1.5,Pending,12,0,5,3,Medium,6,34.0
